order,output
3690,(ORDER (PIZZAORDER okay good afternoon i'd like a pizza (NUMBER and ) make sure there's extra cheese on it (QUANTITY and ) (TOPPING sausage ) on there also (TOPPING but ) definitely (TOPPING no ) (TOPPING pesto ) thanks a (NOT (TOPPING lot ) ) ) )
3691,(ORDER i'll go (PIZZAORDER with five pies (NUMBER in ) medium size along with mushrooms and (TOPPING pineapple ) ) )
3692,(ORDER (PIZZAORDER okay let me think okay i'll take a pizza (NUMBER and ) make it medium and i want ham and (TOPPING sausage ) on (TOPPING there ) but leave the bacon (NOT (TOPPING off ) ) ) )
3693,(ORDER i would like (PIZZAORDER (NUMBER two ) (SIZE small ) pizzas with (TOPPING onion ) (TOPPING mushrooms ) and (TOPPING peppers ) ) )
3694,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING chicken ) and (TOPPING olives ) and i do not (STYLE want ) thin crust ) )
3695,(ORDER i'll go (PIZZAORDER for a medium (NUMBER pie ) (SIZE along ) with ham sausage (TOPPING but ) (TOPPING please ) avoid extra cheese ) )
3696,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING spinach ) and (TOPPING anchovies ) ) )
3697,(ORDER i would like (PIZZAORDER to get (NUMBER two ) pizzas with (TOPPING mushrooms ) and (NUMBER two ) (DRINKTYPE dr peppers ) and (NUMBER one ) (DRINKTYPE coke ) ) )
3698,(ORDER i want (PIZZAORDER (SIZE large ) pie along with (STYLE thin ) crust (TOPPING bacon ) (TOPPING mushrooms ) ) )
3699,(ORDER i think (PIZZAORDER i'll try one medium (NUMBER pizza ) (SIZE with ) mushrooms tuna (TOPPING and ) (TOPPING extra ) cheese ) )
3700,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham ) and (TOPPING bacon ) pie with (QUANTITY extra ) (TOPPING cheese ) ) )
3701,(ORDER (PIZZAORDER (SIZE small ) pizza with (TOPPING ham ) and (TOPPING thin ) crust no (NOT (TOPPING peppers ) ) ) )
3702,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham ) and (TOPPING bacon ) pizza with (TOPPING sausage ) on it ) )
3703,(ORDER i'd like (PIZZAORDER to order one medium (NUMBER pizza ) (SIZE with ) italian sausage (TOPPING and ) one medium (NUMBER pizza ) (SIZE with ) pepperoni and (TOPPING extra ) cheese (QUANTITY and ) (TOPPING i'd ) like two large cokes and (NUMBER one ) small mountain ) )
3704,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) pie with (TOPPING pesto ) and (QUANTITY extra ) (TOPPING cheese ) no pepperoni ) )
3705,(ORDER i'd like (PIZZAORDER one small (NUMBER pizza ) (SIZE with ) mushrooms ham (TOPPING and ) (TOPPING onions ) on (TOPPING it ) ) )
3706,(ORDER i'd love (PIZZAORDER to have large pie (SIZE along ) with onions and (TOPPING peppers ) ) )
3707,(ORDER can i get (PIZZAORDER (NUMBER one ) pizza with (TOPPING tuna ) and (TOPPING peppers ) and i do not (STYLE want ) thin crust ) )
3708,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING peppers ) and (TOPPING bay ) leaves ) )
3709,(ORDER i'd like (PIZZAORDER to get a bacon (NUMBER extra ) cheese (QUANTITY and ) (TOPPING pesto ) pie ) )
3710,(ORDER get me (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING tuna ) and (TOPPING ham ) pizza without (NOT (TOPPING sausage ) ) ) )
3711,(ORDER i wanted to (PIZZAORDER have (NUMBER two ) pizzas with (TOPPING onions ) and (TOPPING chicken ) avoid adding (NOT (QUANTITY extra ) (NOT (TOPPING cheese ) please ) ) )
3712,(ORDER i'll go (PIZZAORDER with one pie (NUMBER with ) medium sized (SIZE along ) with bacon and (TOPPING chicken ) but (TOPPING no ) thin crust ) )
3713,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) and (TOPPING pineapple ) pizza with no (NOT (TOPPING ham ) ) ) )
3714,(ORDER id like (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING cheese ) pizza with (NUMBER a ) (SIZE medium ) (DRINKTYPE coke ) ) )
3715,(ORDER i would (PIZZAORDER like to get (NUMBER a ) pizza with (TOPPING olives ) and (TOPPING tuna ) and (QUANTITY extra ) (TOPPING cheese ) ) )
3716,(ORDER i need (PIZZAORDER (NUMBER one ) (SIZE small ) size pizza and (NUMBER two ) (SIZE large ) size pizzas ) )
3717,(ORDER please order (PIZZAORDER (NUMBER a ) (DRINKTYPE sprite ) with (NUMBER a ) (SIZE personal ) pizza ) )
3718,(ORDER (PIZZAORDER (NUMBER three ) (SIZE medium ) pizzas with (TOPPING black ) olives on (STYLE all ) (STYLE of ) them ) )
3719,(ORDER i wanted to (PIZZAORDER have (NUMBER a ) (SIZE medium ) size pizza with (TOPPING tuna ) and (QUANTITY extra ) (TOPPING cheese ) but no (NOT (TOPPING sausage ) please ) ) )
3720,(ORDER (PIZZAORDER put in an order for (NUMBER two ) (SIZE large ) pizzas with (QUANTITY extra ) (TOPPING cheese ) and (TOPPING light ) (TOPPING sauce ) along with (NUMBER two ) (DRINKTYPE sprites ) and (NUMBER a ) (DRINKTYPE coke ) ) )
3721,(ORDER (PIZZAORDER can you get me (NUMBER a ) (SIZE small ) combination pizza and (NUMBER a ) (SIZE medium ) pizza with (TOPPING mushrooms ) (TOPPING onions ) (TOPPING green ) olives and (TOPPING jalapeños ) ) )
3722,(ORDER i need (PIZZAORDER (NUMBER one ) (SIZE small ) pie including (TOPPING bacon ) and (TOPPING olives ) but no (NOT (TOPPING pepperoni ) ) ) )
3723,(ORDER get me (PIZZAORDER (NUMBER a ) (TOPPING pepperoni ) and (TOPPING ham ) pie with no (NOT (TOPPING onions ) ) ) )
3724,(ORDER (PIZZAORDER place an order for (NUMBER one ) (SIZE small ) pizza with (TOPPING ham ) and (TOPPING pineapple ) and one (SIZE large ) pizza with (TOPPING pepperoni ) and (TOPPING sausage ) ) )
3725,(ORDER can i have (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza along with (TOPPING onions ) (TOPPING pepperoni ) but hold thin crust ) )
3726,(ORDER (PIZZAORDER my order is for (NUMBER a ) (SIZE medium ) pizza with (TOPPING mushrooms ) and (TOPPING anchovies ) and (NUMBER a ) (SIZE large ) ice tea with no sugar ) )
3727,(ORDER i'll take (PIZZAORDER a mushroom (NUMBER and ) pepper pizza (TOPPING i ) don't want any onions and make it (NOT (TOPPING a ) small please ) ) )
3728,(ORDER i want (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas without (NOT (TOPPING ham ) and (TOPPING tuna ) (TOPPING chicken ) on top ) ) )
3729,(ORDER i (PIZZAORDER wish to have (NUMBER three ) (SIZE small ) size pizzas ) )
3730,(ORDER i'll go (PIZZAORDER for a medium (NUMBER pie ) (SIZE along ) with tuna and (TOPPING mushrooms ) and (TOPPING add ) some extra cheese ) )
3731,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pineapple ) and (TOPPING sausage ) pizza with no (NOT (TOPPING mushrooms ) ) ) )
3732,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepper ) (TOPPING onion ) and (TOPPING pineapple ) pizza ) )
3733,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING highrise ) door pizza with pepperoni (TOPPING and ) feta (TOPPING cheese ) ) )
3734,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING onions ) (TOPPING olives ) and (TOPPING chicken ) ) )
3735,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE thin ) crust (TOPPING onion ) and (TOPPING chicken ) pie ) )
3736,(ORDER (PIZZAORDER could you please get me (NUMBER a ) (TOPPING pesto ) bacon and (TOPPING ham ) (TOPPING pizza ) i just need one ) )
3737,(ORDER i want (PIZZAORDER to order (NUMBER a ) (SIZE small ) (TOPPING pepper ) (TOPPING sausage ) and (TOPPING pineapple ) pizza ) )
3738,(ORDER i want (PIZZAORDER to order (NUMBER one ) (SIZE large ) (TOPPING chicken ) and (TOPPING bacon ) pizza with (NUMBER a ) (SIZE large ) dr pepper ) )
3739,(ORDER i would like (PIZZAORDER to try (NUMBER a ) pizza with (QUANTITY extra ) (TOPPING cheese ) and (TOPPING peppers ) and no (NOT (TOPPING pesto ) please ) ) )
3740,(ORDER i want (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (STYLE tuna ) (QUANTITY extra ) (TOPPING cheese ) (TOPPING olives ) ) )
3741,(ORDER (PIZZAORDER i think i'll have a large (NUMBER pie ) (SIZE and ) i want onions on it and tuna and (TOPPING absolutely ) make it thin crust (STYLE thanks ) a lot ) )
3742,(ORDER i'll have one pizza (PIZZAORDER (NUMBER and ) mushrooms tuna (TOPPING but ) (TOPPING hold ) bacon ) )
3743,(ORDER (PIZZAORDER get me (NUMBER a ) (SIZE large ) (STYLE thin ) crust (TOPPING bacon ) and (TOPPING mushroom ) pie ) )
3744,(ORDER i just want (PIZZAORDER (NUMBER one ) (SIZE small ) pizza please make that with (TOPPING pepperoni ) and (TOPPING also ) (TOPPING chicken ) but leave off the (NOT (TOPPING mushrooms ) please ) ) )
3745,(ORDER can i have (PIZZAORDER (NUMBER a ) pizza with (TOPPING ham ) and (TOPPING peppers ) (TOPPING pineapple ) thanks ) )
3746,(ORDER today i need (PIZZAORDER (NUMBER a ) (SIZE large ) pizza and i'd like tuna thin (STYLE crust ) and (TOPPING add ) some ham i (TOPPING appreciate ) it ) )
3747,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING ham ) and (TOPPING sausage ) pie no (NOT (QUANTITY extra ) (NOT (TOPPING cheese ) ) ) )
3748,(ORDER (PIZZAORDER good afternoon can i please have (NUMBER a ) pizza make it (SIZE large ) please add some (TOPPING onions ) as well as ham but i'll pass on the peppers ) )
3749,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) size pizza please no bacon the (TOPPING toppings ) should be (TOPPING ham ) and (STYLE sausage ) only ) )
3750,(ORDER get me (PIZZAORDER (NUMBER three ) (TOPPING bacon ) and (TOPPING onion ) pies with no (NOT (TOPPING chicken ) ) ) )
3751,(ORDER i would (PIZZAORDER like to try (NUMBER one ) (SIZE small ) (TOPPING bacon ) (TOPPING mushroom ) pizza without any (NOT (TOPPING pineapple ) ) ) )
3752,(ORDER (PIZZAORDER can you get me (NUMBER a ) (SIZE medium ) pie with (TOPPING onions ) and (TOPPING olives ) and no (NOT (TOPPING mushrooms ) please ) ) )
3753,(ORDER i wanted to (PIZZAORDER have (NUMBER one ) (SIZE large ) pizza with (TOPPING onions ) (TOPPING ham ) and (STYLE thin ) crust ) )
3754,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING red ) peppers and (TOPPING bay ) leaves ) )
3755,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE large ) pie with (QUANTITY just ) (TOPPING ham ) and (TOPPING pepperoni ) no (NOT (TOPPING olives ) ) ) )
3756,(ORDER i'd love (PIZZAORDER to have one small (NUMBER pizza ) (SIZE along ) with onions and (TOPPING pineapple ) but (TOPPING avoid ) sausage ) )
3757,(ORDER i want (PIZZAORDER to order (NUMBER four ) (SIZE medium ) pizzas with (QUANTITY extra ) (TOPPING cheese ) and (TOPPING light ) (TOPPING sauce ) ) )
3758,(ORDER i'm in (PIZZAORDER the mood for a medium (NUMBER pizza ) (SIZE with ) olives and (TOPPING onions ) but (TOPPING leave ) off the mushrooms ) )
3759,(ORDER i need (PIZZAORDER you to begin an order for (NUMBER two ) (SIZE large ) pizzas with (QUANTITY extra ) (TOPPING mushrooms ) (TOPPING but ) (TOPPING light ) on cheese and include (SIZE one ) small pizza with sausage ) )
3760,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) pie with (TOPPING chicken ) and (QUANTITY extra ) (TOPPING cheese ) without (NOT (TOPPING onion ) ) ) )
3761,(ORDER looking for (PIZZAORDER (NUMBER a ) pizza with (TOPPING mushrooms ) (TOPPING sausage ) and no (NOT (TOPPING ham ) ) ) )
3762,(ORDER can i have (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING red ) onions bell (TOPPING peppers ) (TOPPING pepperoni ) and (TOPPING lettuce ) ) )
3763,(ORDER order a (PIZZAORDER (SIZE large ) pizza with (TOPPING tuna ) and (TOPPING sausage ) on it no (NOT (TOPPING pesto ) ) ) )
3764,(ORDER (PIZZAORDER can you get me (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) pizza with (TOPPING black ) olives and (NUMBER two ) (SIZE large ) (DRINKTYPE pepsi ) please ) )
3765,(ORDER i prefer (PIZZAORDER (NUMBER one ) pizza in (SIZE large ) size along with (TOPPING bacon ) and (TOPPING mushrooms ) but without (NOT (QUANTITY additional ) (NOT (TOPPING cheese ) ) ) )
3766,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) pizzas with (TOPPING parsley ) and (TOPPING carrots ) ) )
3767,(ORDER i want (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING tuna ) and (TOPPING chicken ) pies with no (NOT (TOPPING ham ) ) ) )
3768,(ORDER i would (PIZZAORDER take (NUMBER one ) (SIZE small ) pie with (TOPPING ham ) (TOPPING pesto ) without (NOT (QUANTITY extra ) (NOT (TOPPING cheese ) ) ) )
3769,(ORDER can i try (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING bacon ) (TOPPING tuna ) and (TOPPING onion ) pie please ) )
3770,(ORDER i want (PIZZAORDER (NUMBER two ) pizzas with (TOPPING peppers ) three (TOPPING pepsi ) and (NUMBER four ) (SIZE small ) (DRINKTYPE diet sprites ) ) )
3771,(ORDER can i get (PIZZAORDER an olive and onion pizza i don't want any mushrooms on (NOT (TOPPING it ) and i'd like it medium ) ) )
3772,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE large ) pie with (TOPPING olives ) (TOPPING thin ) (TOPPING crust ) and no (NOT (TOPPING pineapple ) please ) ) )
3773,(ORDER can i get (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING bacon ) (TOPPING peppers ) and (TOPPING mushroom ) please ) )
3774,(ORDER (PIZZAORDER can you get me (NUMBER two ) pizzas with (TOPPING ham ) and (TOPPING peppers ) but no (NOT (TOPPING pineapple ) ) ) )
3775,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING sausage ) and (TOPPING mushroom ) pizza with no (NOT (TOPPING ham ) ) ) )
3776,(ORDER get me (PIZZAORDER (NUMBER one ) pizza with (TOPPING ham ) and (TOPPING pesto ) and leave off the (NOT (TOPPING olives ) ) ) )
3777,(ORDER i'll go (PIZZAORDER for a small (NUMBER pizza ) (SIZE along ) with pesto and (TOPPING pepperoni ) and (TOPPING some ) extra cheese ) )
3778,(ORDER i would (PIZZAORDER like to order (NUMBER a ) (SIZE large ) pizza with (TOPPING beef ) (TOPPING onions ) (TOPPING mushrooms ) and (TOPPING black ) olives and i'd also like to get four small diet pepsi ) )
3779,(ORDER fetch me (PIZZAORDER (NUMBER three ) (TOPPING peppers ) (TOPPING chicken ) pizza with no (NOT (TOPPING ham ) please ) ) )
3780,(ORDER i'll take (PIZZAORDER a large (NUMBER pizza ) (SIZE with ) chicken on (TOPPING it ) (TOPPING and ) mushrooms please (TOPPING make ) sure there is no extra cheese (NOT (TOPPING that's ) all ) ) )
3781,(ORDER i need (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING sausage ) pizzas with (TOPPING onions ) and (TOPPING green ) olives and (NUMBER a ) (VOLUME two liter ) (CONTAINERTYPE bottle ) of (DRINKTYPE dr pepper ) ) )
3782,(ORDER i want (PIZZAORDER to order (NUMBER one ) (SIZE medium ) pizza with (TOPPING pepperoni ) (TOPPING black ) olives green peppers (TOPPING and ) (TOPPING hot ) peppers ) )
3783,(ORDER i am (PIZZAORDER (NUMBER just ) ordering soft drinks tonight give me (NUMBER just ) one pepsi but i want six diet cokes and i need them all large also i'd like a santa ) )
3784,(ORDER i'd like (PIZZAORDER to try one large (NUMBER pie ) (SIZE with ) extra cheese (QUANTITY and ) (TOPPING pesto ) and (TOPPING no ) olives please ) )
3785,(ORDER i would (PIZZAORDER like to order (NUMBER five ) pizzas all with (TOPPING yellow ) (TOPPING peppers ) and (TOPPING ham ) and also include (NUMBER five ) (DRINKTYPE pepsi ) ) )
3786,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING tuna ) and (TOPPING ham ) but no (NOT (TOPPING sausage ) ) ) )
3787,(ORDER i'll go for one large (PIZZAORDER (NUMBER pie ) (SIZE along ) with olives and (TOPPING chicken ) but (TOPPING avoid ) ham ) )
3788,(ORDER (PIZZAORDER (NUMBER a ) pizza me sized with extra (TOPPING cheese ) (TOPPING tuna ) and (TOPPING mushrooms ) added ) )
3789,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING chicken ) and (QUANTITY extra ) (TOPPING cheese ) but no (NOT (TOPPING olives ) please ) ) )
3790,(ORDER i want (PIZZAORDER (NUMBER a ) pizza with no (NOT (TOPPING olives ) ) ) )
3791,(ORDER i want (PIZZAORDER to get (NUMBER an ) (TOPPING olive ) and (TOPPING sausage ) pie with no (NOT (TOPPING tuna ) ) ) )
3792,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chicken ) (TOPPING sausage ) pizza with (QUANTITY extra ) (TOPPING cheese ) ) )
3793,(ORDER give (PIZZAORDER me (NUMBER a ) (TOPPING pesto ) pizza extra (TOPPING cheese ) no tuna ) )
3794,(ORDER could i get (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin ) crust pizza with (TOPPING ham ) (TOPPING pepperoni ) please ) )
3795,(ORDER i'll try (PIZZAORDER a pizza (NUMBER with ) sausage bacon (TOPPING but ) (TOPPING hold ) the extra cheese ) )
3796,(ORDER can i get (PIZZAORDER (NUMBER a ) (TOPPING ham ) and (TOPPING pesto ) pie with (TOPPING mushrooms ) ) )
3797,(ORDER (PIZZAORDER put in an order for (NUMBER two ) (SIZE medium ) pizzas with (TOPPING bacon ) and (TOPPING mushrooms ) and (NUMBER one ) (SIZE small ) pizza with (QUANTITY extra ) (TOPPING cheese ) ) )
3798,(ORDER i'll try (PIZZAORDER a medium (NUMBER pizza ) (SIZE with ) olives and (TOPPING tuna ) on (TOPPING there ) and hold the mushrooms please ) )
3799,(ORDER i would (PIZZAORDER like to try (NUMBER one ) (SIZE large ) (TOPPING chicken ) and (TOPPING mushroom ) pizza with no (NOT (QUANTITY extra ) (NOT (TOPPING cheese ) please ) ) )
3800,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING feta ) (TOPPING cheese ) and (TOPPING bacon ) ) )
3801,(ORDER i'd like to (PIZZAORDER get a medium (NUMBER onion ) (SIZE and ) (TOPPING ham ) pizza (TOPPING without ) any sausage ) )
3802,(ORDER get me (DRINKORDER (NUMBER a ) (DRINKTYPE santa ) (NUMBER two ) (DRINKTYPE dr peppers ) and (NUMBER four ) (SIZE small ) (DRINKTYPE pepsi ) ) )
3803,(ORDER i would like (PIZZAORDER to order (NUMBER a ) (SIZE small ) pizza with canadian bacon and onions (NUMBER a ) (SIZE medium ) pizza with (TOPPING ham ) and (TOPPING black ) olives and i don't want any drinks with this ) )
3804,(ORDER i'd like (PIZZAORDER a large (NUMBER pizza ) (SIZE with ) chicken and (TOPPING peppers ) and (TOPPING leave ) off the ham please ) )
3805,(ORDER i want (PIZZAORDER (NUMBER a ) (STYLE thin ) crust with (TOPPING bacon ) and (TOPPING mushrooms ) and make it (NUMBER a ) (SIZE large ) ) )
3806,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING chicken ) and (TOPPING peppers ) but with no (NOT (TOPPING ham ) ) ) )
3807,(ORDER i would (PIZZAORDER like to have (NUMBER a ) (SIZE medium ) size pizza with (QUANTITY extra ) (STYLE cheese ) thin (TOPPING crust ) and (TOPPING pesto ) ) )
3808,(ORDER let me have (PIZZAORDER (NUMBER one ) pie in (SIZE small ) size along with (TOPPING bacon ) and (TOPPING ham ) but without (NOT (TOPPING mushrooms ) ) ) )
3809,(ORDER i would (PIZZAORDER like to get (NUMBER two ) (SIZE small ) pizzas with (TOPPING tuna ) and (TOPPING peppers ) please ) )
3810,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE meat ) lovers pizza without (TOPPING sausage ) and (NUMBER two ) (SIZE medium ) extra (TOPPING cheese ) pizzas ) )
3811,(ORDER can i have (PIZZAORDER (NUMBER two ) (SIZE small ) pizzas with (TOPPING grilled ) chicken and (TOPPING be ) (TOPPING sauce ) on them ) )
3812,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING sausage ) and (TOPPING pepper ) pizza with no (NOT (TOPPING pineapples ) ) ) )
3813,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING garlic ) (TOPPING ham ) (TOPPING onions ) and (TOPPING peppers ) ) )
3814,(ORDER please order (DRINKORDER (NUMBER one ) (NUMBER pepsi ) (DRINKTYPE six ) (DRINKTYPE fantasy ) and (NUMBER a ) (SIZE small ) (DRINKTYPE diet sprite ) for me ) )
3815,(ORDER (PIZZAORDER i'd like an order placed for three mediums (NUMBER pizzas ) (SIZE with ) extra cheese and (TOPPING one ) large (NUMBER pizza ) (SIZE with ) low fat (TOPPING cheese ) ) )
3816,(ORDER i want (PIZZAORDER to order (NUMBER two ) (SIZE large ) (STYLE deep ) dish meat lovers pizzas ) )
3817,(ORDER let me (PIZZAORDER (NUMBER get ) (SIZE medium ) pizza with (TOPPING pineapple ) and (TOPPING peppers ) and (TOPPING onions ) ) )
3818,(ORDER i want (PIZZAORDER (NUMBER two ) (SIZE small ) pizzas with (TOPPING bacon ) (TOPPING sausage ) and (TOPPING tuna ) ) )
3819,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) with ham and (TOPPING peppers ) and (NUMBER one ) (SIZE small ) with (QUANTITY only ) (TOPPING cheese ) pizza ) )
3820,(ORDER get me (PIZZAORDER (NUMBER a ) (TOPPING chicken ) and (TOPPING onion ) pizza with no (NOT (TOPPING pesto ) ) ) )
3821,(ORDER (PIZZAORDER order (NUMBER a ) (SIZE small ) (TOPPING tuna ) and (QUANTITY extra ) (TOPPING cheese ) pizza without any (NOT (TOPPING peppers ) ) ) )
3822,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) pizza only ) )
3823,(ORDER i want (PIZZAORDER to order (NUMBER two ) (SIZE large ) (STYLE new ) york style (TOPPING pepperoni ) pizzas ) )
3824,(ORDER (PIZZAORDER for tonight i just want (NUMBER a ) pizza with (TOPPING chicken ) as well as (TOPPING onions ) but i don't want any pesto thanks ) )
3825,(ORDER i would like (PIZZAORDER to try the (SIZE large ) pie with (TOPPING onions ) and (TOPPING peppers ) please ) )
3826,(ORDER can i (PIZZAORDER get (NUMBER a ) (SIZE small ) (STYLE thin ) crust (TOPPING peppers ) and (TOPPING mushrooms ) pie ) )
3827,(ORDER (PIZZAORDER put in a pizza order for (NUMBER two ) (SIZE large ) pizzas with (TOPPING green ) peppers and (TOPPING olives ) and then add a (SIZE small ) pizza with extra (TOPPING cheese ) ) )
3828,(ORDER i'd (PIZZAORDER like to try a large (NUMBER pizza ) (SIZE and ) make that with thin crust also i (TOPPING want ) peppers on (TOPPING it ) but leave off the mushrooms (NOT (TOPPING thanks ) ) ) )
3829,(ORDER can i have (PIZZAORDER (NUMBER a ) (TOPPING mushroom ) and (TOPPING chicken ) pizza with no (NOT (TOPPING pepperoni ) ) ) )
3830,(ORDER i want (PIZZAORDER to order (NUMBER one ) (SIZE lunch ) pizza with (TOPPING sausage ) and (TOPPING pepperoni ) and (NUMBER a ) (SIZE medium ) (DRINKTYPE coke ) ) )
3831,(ORDER i'm in (PIZZAORDER the mood for a large (NUMBER pizza ) (SIZE with ) extra cheese (QUANTITY sausage ) (TOPPING and ) (TOPPING ham ) ) )
3832,(ORDER (PIZZAORDER place an order for (NUMBER one ) (SIZE small ) pizza with (TOPPING sausage ) (TOPPING bacon ) and (QUANTITY extra ) (TOPPING cheese ) and (NUMBER one ) (SIZE large ) sweetened ice (DRINKTYPE tea ) ) )
3833,(ORDER i want (PIZZAORDER to get (NUMBER one ) (SIZE large ) pie with (TOPPING olives ) (TOPPING onions ) and (TOPPING pineapple ) please ) )
3834,(ORDER i want (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (QUANTITY extra ) (TOPPING cheese ) and (TOPPING sausage ) and (TOPPING mushrooms ) ) )
3835,(ORDER i would (PIZZAORDER like to get (NUMBER a ) (SIZE large ) (TOPPING peppers ) and (TOPPING sausage ) pie with (STYLE thin ) crust ) )
3836,(ORDER can i please (PIZZAORDER get (NUMBER three ) (TOPPING ham ) and (TOPPING chicken ) pizzas with no (NOT (TOPPING mushrooms ) ) ) )
3837,(ORDER i'll go (PIZZAORDER with mushrooms and (TOPPING sausage ) with (TOPPING small ) pie (QUANTITY but ) avoid pineapple ) )
3838,(ORDER i need (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with thin (TOPPING crust ) and (TOPPING ham ) and no (NOT (TOPPING peppers ) ) ) )
3839,(ORDER i need (PIZZAORDER (NUMBER an ) (TOPPING olive ) and (TOPPING tuna ) pizza with (QUANTITY extra ) (TOPPING cheese ) ) )
3840,(ORDER i would like to (PIZZAORDER have (NUMBER one ) pizza in (SIZE small ) size along with (TOPPING olives ) and (TOPPING pesto ) but without (NOT (TOPPING ham ) ) ) )
3841,(ORDER i like (PIZZAORDER to try (NUMBER six ) (TOPPING mushroom ) pizzas along with (STYLE thin ) crust (TOPPING peppers ) ) )
3842,(ORDER (PIZZAORDER start an order for (NUMBER three ) (SIZE small ) pizzas with (TOPPING yellow ) (TOPPING peppers ) and (QUANTITY extra ) (TOPPING onions ) ) )
3843,(ORDER (DRINKORDER place an order for (NUMBER six ) (SIZE large ) (DRINKTYPE cokes ) (NUMBER five ) (SIZE medium ) (DRINKTYPE cokes ) five (SIZE large ) (SIZE diet ) cokes three (NUMBER medium ) (SIZE diet ) cokes four (NUMBER large ) (SIZE sprites ) and seven medium sprites ) )
3844,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING tuna ) and (TOPPING pepper ) pizza with (TOPPING bacon ) ) )
3845,(ORDER i would (PIZZAORDER like to order (NUMBER a ) (SIZE large ) pizza with (TOPPING bacon ) (TOPPING sausage ) and (TOPPING onions ) ) )
3846,(ORDER i just want (PIZZAORDER (NUMBER a ) (SIZE small ) pie with no (NOT (TOPPING pesto ) ) ) )
3847,(ORDER i'll go (PIZZAORDER with one pie (NUMBER which ) is small in size along with more cheese and (TOPPING tuna ) but (TOPPING no ) pepperoni ) )
3848,(ORDER i (PIZZAORDER wanted to have (NUMBER a ) (SIZE large ) pizza with (TOPPING peppers ) (TOPPING onions ) and (TOPPING olives ) add (NUMBER a ) (DRINKTYPE pepsi ) too ) )
3849,(ORDER i want (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING chicken ) (TOPPING tuna ) and hold the (NOT (TOPPING pesto ) please ) ) )
3850,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) veggie pizza with (QUANTITY extra ) (TOPPING cheese ) a (QUANTITY small ) (QUANTITY big ) (STYLE meat ) pizza with extra cheese and two large sprites ) )
3851,(ORDER i would like (PIZZAORDER (NUMBER a ) (STYLE meat ) lovers (SIZE large ) pizza but hold the (NOT (TOPPING hamburger ) ) ) )
